dataset,sample,scope_delta_us,isr_delta_us,mapping_delta_us
"helix-phase-continuous-rejected",15,58.75,-1.7449999999999999,60.495
"helix-phase-continuous-rejected",16,58.666666666666664,-1.792,60.458666666666666
"helix-phase-continuous-rejected",17,58.79166666666667,-1.7449999999999999,60.53666666666667
"helix-phase-continuous-rejected",18,58.708333333333336,-1.792,60.50033333333334
"helix-phase-continuous-rejected",19,58.75,-1.7449999999999999,60.495
"helix-phase-continuous-rejected",20,58.625,-1.792,60.417
"helix-preempt-rt-r1",1,3.208333333333333,-1.792,5.000333333333333
"helix-preempt-rt-r1",2,4.75,-1.792,6.542
"helix-preempt-rt-r1",3,5.916666666666667,-1.792,7.708666666666667
"helix-preempt-rt-r1",4,7.166666666666667,-1.792,8.958666666666668
"helix-preempt-rt-r1",5,7.833333333333333,-1.7449999999999999,9.578333333333333
"helix-preempt-rt-r1",6,8.25,-1.792,10.042
"helix-preempt-rt-r1",7,8.625,-1.7449999999999999,10.37
"helix-preempt-rt-r1",8,7.833333333333333,-1.792,9.625333333333334
"helix-preempt-rt-r1",9,7.75,-1.7449999999999999,9.495
"helix-preempt-rt-r1",10,7.625,-1.792,9.417
"helix-preempt-rt-r1",11,7.375,-1.7449999999999999,9.12
"helix-preempt-rt-r1",12,3.0,-1.7449999999999999,4.745
"helix-preempt-rt-r1",13,-1.5833333333333333,-1.792,0.20866666666666678
"helix-preempt-rt-r1",14,-1.4583333333333333,-1.792,0.3336666666666668
"helix-preempt-rt-r1",15,-1.5416666666666665,-1.7449999999999999,0.20333333333333337
"helix-preempt-rt-r1",16,-1.7083333333333335,-1.792,0.08366666666666656
"helix-preempt-rt-r1",17,-1.75,-1.7449999999999999,-0.0050000000000001155
"helix-preempt-rt-r1",18,-1.7083333333333335,-1.792,0.08366666666666656
"helix-preempt-rt-r1",19,-1.4583333333333333,-1.7449999999999999,0.2866666666666666
"helix-preempt-rt-r1",20,-0.375,-1.7449999999999999,1.3699999999999999
"helix-preempt-rt-r1",21,-0.125,-1.792,1.667
"helix-preempt-rt-r1",22,0.125,-1.792,1.917
"helix-preempt-rt-r1",23,-0.08333333333333334,-1.792,1.7086666666666668
"helix-preempt-rt-r1",24,0.9583333333333334,-1.792,2.7503333333333333
"helix-preempt-rt-r1",25,1.8333333333333333,-1.7449999999999999,3.578333333333333
"helix-preempt-rt-r1",26,2.875,-1.792,4.667
"helix-preempt-rt-r1",27,4.458333333333334,-1.792,6.250333333333334
"helix-preempt-rt-r1",28,5.875,-1.792,7.667
"helix-preempt-rt-r1",29,6.125,-1.7449999999999999,7.87
"helix-preempt-rt-r1",30,6.041666666666667,-1.792,7.833666666666667
"helix-preempt-rt-r2",1,-18.875,-1.7449999999999999,-17.13
"helix-preempt-rt-r2",2,-18.791666666666668,-1.792,-16.999666666666666
"helix-preempt-rt-r2",3,-17.291666666666664,-1.792,-15.499666666666664
"helix-preempt-rt-r2",4,-16.541666666666668,-1.7449999999999999,-14.796666666666669
"helix-preempt-rt-r2",5,-15.916666666666666,-1.792,-14.124666666666666
"helix-preempt-rt-r2",6,-15.25,-1.7449999999999999,-13.505
"helix-preempt-rt-r2",7,-14.875,-1.792,-13.083
"helix-preempt-rt-r2",8,-15.25,-1.7449999999999999,-13.505
"helix-preempt-rt-r2",9,-14.083333333333332,-1.792,-12.291333333333332
"helix-preempt-rt-r2",10,-12.875,-1.792,-11.083
"helix-preempt-rt-r2",11,-12.125,-1.7449999999999999,-10.38
"helix-preempt-rt-r2",12,-11.583333333333334,-1.792,-9.791333333333334
"helix-preempt-rt-r2",13,-10.25,-1.792,-8.458
"helix-preempt-rt-r2",14,-7.666666666666667,-1.7449999999999999,-5.921666666666667
