elapsed_s,temperature_c,target_c,power,controller_state,controller_algorithm,control_mode,fault,mcu_samples,mcu_temperature_c,mcu_temperature_estimate_c,mcu_temperature_valid,loop_clock,loop_clock_frequency,loop_clock_source,loop_dt_count,loop_dt_mean_s,loop_dt_stddev_s,loop_dt_min_s,loop_dt_max_s,thermal_model_source,thermal_model_gain,thermal_model_tau_s,thermal_model_delay_s,thermal_model_horizon_s,thermal_control_band_c,host_predictive_output,host_predictive_bias,host_predictive_filtered_temperature_c,host_predictive_ambient_c,host_predictive_approach_active,host_predictive_approach_blend
20.048070066000946,61.45,75.0,1.0,host,predictive,host,0,136,,62.873,False,18118.506415642,1.0,host,135,0.29999218637779085,0.00021823893523922042,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
20.549697919999744,61.79,75.0,1.0,host,predictive,host,0,138,,62.873,False,18119.106444852,1.0,host,137,0.29999251365694557,0.00021665856775983171,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
21.050727410001855,61.96,75.0,1.0,host,predictive,host,0,139,,63.396,False,18119.40638009,1.0,host,138,0.29999209861594817,0.000215926799559488,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
21.552422657001443,62.3,75.0,1.0,host,predictive,host,0,141,,63.396,False,18120.00637952,1.0,host,140,0.29999220742143484,0.00021453055593554857,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
22.05359460800173,62.62,75.0,1.0,host,predictive,host,0,143,,63.779,False,18120.606401344,1.0,host,142,0.2999924708662074,0.00021318323269239626,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
22.555454977999034,62.79,75.0,1.0,host,predictive,host,0,144,,63.779,False,18120.906435023,1.0,host,143,0.29999275903496936,0.0002124642810768892,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
23.056420218999847,63.1,75.0,1.0,host,predictive,host,0,146,,64.197,False,18121.5063624,1.0,host,145,0.2999923580620691,0.0002110541227951771,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
23.556972041002155,63.42,75.0,1.0,host,predictive,host,0,148,,64.197,False,18122.106341832,1.0,host,147,0.2999923221156561,0.0002096175909765251,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
24.058036195001478,63.57,75.0,1.0,host,predictive,host,0,149,,64.72,False,18122.406341669,1.0,host,148,0.2999923728918992,0.00020890913024539692,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
24.55994590499904,63.88,75.0,1.0,host,predictive,host,0,151,,64.72,False,18123.006358462,1.0,host,150,0.299992586540005,0.00020753473299940563,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
