wall_time,elapsed_s,print_state,filename,print_duration_s,total_duration_s,bed_temperature_c,bed_target_c,bed_power,bed_state,bed_fault,bed_samples,bed_mcu_temperature_c,bed_loop_dt_count,bed_loop_dt_mean_s,bed_loop_dt_stddev_s,bed_loop_dt_min_s,bed_loop_dt_max_s,bed_pid_kp,bed_pid_ki,bed_pid_kd,bed_pid_source,bed_pid_model,extruder_temperature_c,extruder_target_c,extruder_power,extruder_state,extruder_fault,extruder_samples,extruder_mcu_temperature_c,extruder_loop_dt_count,extruder_loop_dt_mean_s,extruder_loop_dt_stddev_s,extruder_loop_dt_min_s,extruder_loop_dt_max_s,extruder_pid_kp,extruder_pid_ki,extruder_pid_kd,extruder_pid_source,extruder_pid_model
1784591588.542685,331.8273222749999,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,508.3618892029999,558.840260723,54.92,55.0,0.2418097199969482,active,0,1890,55.0,1889,0.3000000037056644,1.1957507571681182e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.2,210.0,0.6994735637445639,active,0,1891,210.243,1890,0.30000060846560844,7.514285606245188e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591589.0444117,332.3290488409998,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,508.8634938319997,559.3418653519998,54.91,55.0,0.2401159685664149,active,0,1894,54.951,1893,0.2999999947173798,1.195867923611405e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.17,210.0,0.7132524605172809,active,0,1894,210.159,1893,0.30000061331220285,7.508347509749785e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591589.545246,332.829883163,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,509.36449536500004,559.8428668850001,54.96,55.0,0.2401159685664149,active,0,1894,54.951,1893,0.2999999947173798,1.195867923611405e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.15,210.0,0.7132524605172809,active,0,1894,210.159,1893,0.30000061331220285,7.508347509749785e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591590.0473533,333.3319904599998,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,509.86649918500007,560.3448707050002,54.94,55.0,0.0,active,0,1897,55.049,1896,0.29999999947257383,1.195197403218922e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.11,210.0,0.719325551232166,active,0,1898,210.075,1897,0.3000006078017923,7.50089722432711e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591590.5489054,333.8335427049997,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,510.36809611599983,560.8464676359999,54.96,55.0,0.0,active,0,1897,55.049,1896,0.29999999947257383,1.195197403218922e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.07,210.0,0.719325551232166,active,0,1898,210.075,1897,0.3000006078017923,7.50089722432711e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591591.0497684,334.33440571599976,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,510.8688755009998,561.3472470209999,54.96,55.0,0.1431906614785992,active,0,1900,55.0,1899,0.3000000026329647,1.194680562898704e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.06,210.0,0.7201342793926909,active,0,1901,210.028,1900,0.30000061,7.495135267906146e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591591.550982,334.8356191109997,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,511.370211206,561.8485827260001,54.93,55.0,0.1431906614785992,active,0,1900,55.0,1899,0.3000000026329647,1.194680562898704e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.03,210.0,0.7201342793926909,active,0,1901,210.028,1900,0.30000061,7.495135267906146e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591592.0518477,335.33648486799984,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,511.870993644,562.3493651640001,54.95,55.0,0.5111772335393301,active,0,1904,54.902,1903,0.2999999936941671,1.1941922964205956e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,210.0,210.0,0.7186388952468147,active,0,1904,210.0,1903,0.3000006111403048,7.489228644182427e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591592.553132,335.83776935299966,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,512.3723465459998,562.8507180659999,54.92,55.0,0.5111772335393301,active,0,1904,54.902,1903,0.2999999936941671,1.1941922964205956e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,209.99,210.0,0.7186388952468147,active,0,1904,210.0,1903,0.3000006111403048,7.489228644182427e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
1784591593.0537894,336.338426797,printing,Voron_Design_Cube_v8_0.4n_0.2mm_PLA_V0_120_26m.gcode,512.8729377459999,563.351309266,54.93,55.0,0.44937819485770963,active,0,1907,54.902,1906,0.2999999937040923,1.1938850942640663e-05,0.29989099999999996,0.300116,54.027,0.77,948.182,base,point,209.98,210.0,0.7215228503852903,active,0,1908,209.953,1907,0.30000062611431566,7.481679921610794e-05,0.299006,0.30092399999999997,14.205892372630283,2.03725,38.19622460734466,linear,curve
