elapsed_s,temperature_c,target_c,power,controller_state,fault,mcu_samples,mcu_temperature_c,loop_clock,loop_clock_frequency,loop_clock_source
88.67666570999427,56.36,60.0,0.8435260784153091,host,0,,,,,
89.42880531400442,56.44,60.0,0.7796436334242317,host,0,,,,,
90.1800964900176,56.56,60.0,0.5992038773614404,host,0,,,,,
90.93205717601813,56.61,60.0,0.8631023027196991,host,0,,,,,
91.68321886798367,56.7,60.0,0.8207589052129949,host,0,,,,,
92.43436681898311,56.75,60.0,0.8360429134289331,host,0,,,,,
93.1850670989952,56.82,60.0,0.9503216216627975,host,0,,,,,
93.93613301898586,56.88,60.0,0.7643236605740502,host,0,,,,,
94.68814875598764,56.99,60.0,0.5828202996050725,host,0,,,,,
95.43950381898321,57.06,60.0,0.6988318329731629,host,0,,,,,
96.1908191399998,57.14,60.0,0.8754645939775973,host,0,,,,,
96.94212668196997,57.18,60.0,0.8388697712457294,host,0,,,,,
97.69425151799805,57.24,60.0,0.8642231341427447,host,0,,,,,
98.44618549797451,57.3,60.0,0.6972096441567931,host,0,,,,,
99.19818945799489,57.38,60.0,0.8571496776927461,host,0,,,,,
99.94944427296286,57.43,60.0,0.8681823170699436,host,0,,,,,
100.70100745197851,57.51,60.0,0.7795873697192557,host,0,,,,,
101.45302652998362,57.55,60.0,0.7692453996257298,host,0,,,,,
102.20444380800473,57.61,60.0,0.592177877341827,host,0,,,,,
102.95588014298119,57.65,60.0,0.7973635075147192,host,0,,,,,
103.70694281801116,57.72,60.0,0.9027843507585557,host,0,,,,,
104.4588368780096,57.76,60.0,0.871140147890785,host,0,,,,,
105.21106826100731,57.8,60.0,1.0,host,0,,,,,
105.96252047899179,57.84,60.0,0.8199136687279929,host,0,,,,,
106.71358691999922,57.89,60.0,0.809046061376963,host,0,,,,,
107.46576946001733,57.94,60.0,0.8143226404803853,host,0,,,,,
108.21752738201758,58.03,60.0,0.8299130172797009,host,0,,,,,
108.96863977698376,58.09,60.0,0.8654047681730561,host,0,,,,,
109.71971903997473,58.12,60.0,1.0,host,0,,,,,
110.47186928597512,58.18,60.0,0.6038841744385808,host,0,,,,,
111.22343734401511,58.22,60.0,0.7933284534847499,host,0,,,,,
111.97446330200182,58.24,60.0,0.8634733557191436,host,0,,,,,
112.72661479900125,58.29,60.0,0.66596322544701,host,0,,,,,
113.4787038009963,58.32,60.0,0.843746076041535,host,0,,,,,
114.2302782809711,58.39,60.0,0.7370992057377526,host,0,,,,,
114.98164348601131,58.44,60.0,0.743924483444097,host,0,,,,,
115.73375437100185,58.51,60.0,0.6379817420231272,host,0,,,,,
116.48495416896185,58.55,60.0,0.8121167883805009,host,0,,,,,
117.23696007201215,58.58,60.0,1.0,host,0,,,,,
117.98862938099774,58.6,60.0,0.8228349711810145,host,0,,,,,
118.74022063199664,58.63,60.0,0.991061820778004,host,0,,,,,
119.4925326089724,58.65,60.0,0.8093184695880608,host,0,,,,,
120.24373826396186,58.7,60.0,0.62852567436229,host,0,,,,,
120.99545125500299,58.74,60.0,0.618325180475787,host,0,,,,,
121.74695203400915,58.83,60.0,0.5669018855003563,host,0,,,,,
122.49882598797558,58.87,60.0,0.8042107007106288,host,0,,,,,
123.25023224996403,58.9,60.0,0.9764277043968952,host,0,,,,,
124.00230982201174,58.93,60.0,0.8801662291458818,host,0,,,,,
124.75374333397485,58.94,60.0,0.8801662291458818,host,0,,,,,
125.50491782400059,58.94,60.0,0.8801662291458818,host,0,,,,,
126.2572218219866,58.94,60.0,0.9318062056323755,host,0,,,,,
127.00924076896627,58.98,60.0,0.6309161226078509,host,0,,,,,
127.76094721700065,59.02,60.0,0.6095045895638078,host,0,,,,,
128.5130285769701,59.08,60.0,0.46123805972041093,host,0,,,,,
